time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,precipitation,snowfall,cloudcover,latitude,longitude
2025-12-10 18:00:00,7.9,91,5.5,0.0,0.0,0.0,32,43.98,8.02
2025-12-10 19:00:00,7.7,91,4.8,0.0,0.0,0.0,59,43.98,8.02
2025-12-10 20:00:00,7.7,92,5.4,0.0,0.0,0.0,71,43.98,8.02
2025-12-10 21:00:00,7.9,93,5.2,0.0,0.0,0.0,75,43.98,8.02
2025-12-10 22:00:00,8.0,93,5.5,0.0,0.0,0.0,75,43.98,8.02
2025-12-10 23:00:00,7.9,94,5.0,0.0,0.0,0.0,76,43.98,8.02
2025-12-10 00:00:00,14.6,76,5.4,0.0,0.0,0.0,49,44.0,8.299999
2025-12-10 01:00:00,14.4,79,4.5,0.0,0.0,0.0,79,44.0,8.299999
2025-12-10 02:00:00,14.4,79,3.4,0.0,0.0,0.0,64,44.0,8.299999
2025-12-10 03:00:00,14.2,81,4.2,0.0,0.0,0.0,34,44.0,8.299999
2025-12-10 04:00:00,14.1,79,6.4,0.0,0.0,0.0,78,44.0,8.299999
2025-12-10 05:00:00,14.1,78,6.4,0.0,0.0,0.0,66,44.0,8.299999
2025-12-10 06:00:00,14.1,78,6.0,0.0,0.0,0.0,46,44.0,8.299999
2025-12-10 07:00:00,14.1,78,8.5,0.0,0.0,0.0,83,44.0,8.299999
2025-12-10 08:00:00,14.3,76,6.0,0.0,0.0,0.0,94,44.0,8.299999
2025-12-10 09:00:00,14.4,77,4.7,25.0,0.0,0.0,95,44.0,8.299999
2025-12-10 10:00:00,14.3,78,4.9,97.8,0.0,0.0,72,44.0,8.299999
2025-12-10 11:00:00,14.6,77,1.8,243.8,0.0,0.0,53,44.0,8.299999
2025-12-10 12:00:00,15.2,81,5.2,299.8,0.0,0.0,66,44.0,8.299999
2025-12-10 13:00:00,15.6,79,15.0,316.8,0.0,0.0,16,44.0,8.299999
2025-12-10 14:00:00,15.9,73,19.6,324.5,0.0,0.0,29,44.0,8.299999
2025-12-10 15:00:00,16.0,71,19.9,240.8,0.0,0.0,20,44.0,8.299999
2025-12-10 16:00:00,16.1,71,20.0,126.5,0.0,0.0,36,44.0,8.299999
2025-12-10 17:00:00,16.2,69,20.5,19.5,0.0,0.0,43,44.0,8.299999
2025-12-10 18:00:00,16.0,74,17.5,0.0,0.0,0.0,88,44.0,8.299999
2025-12-10 19:00:00,15.8,75,10.4,0.0,0.0,0.0,63,44.0,8.299999
2025-12-10 20:00:00,15.1,79,6.6,0.0,0.0,0.0,60,44.0,8.299999
2025-12-10 21:00:00,14.7,80,6.3,0.0,0.0,0.0,66,44.0,8.299999
2025-12-10 22:00:00,14.6,79,5.9,0.0,0.0,0.0,59,44.0,8.299999
2025-12-10 23:00:00,14.6,79,5.1,0.0,0.0,0.0,24,44.0,8.299999
2025-12-10 00:00:00,15.6,71,11.2,0.0,0.0,0.0,87,44.0,8.6
2025-12-10 01:00:00,16.0,71,14.5,0.0,0.0,0.0,100,44.0,8.6
2025-12-10 02:00:00,15.7,76,17.9,0.0,0.0,0.0,100,44.0,8.6
2025-12-10 03:00:00,15.7,76,18.1,0.0,0.0,0.0,65,44.0,8.6
2025-12-10 04:00:00,15.9,73,18.9,0.0,0.0,0.0,85,44.0,8.6
2025-12-10 05:00:00,15.9,71,16.2,0.0,0.0,0.0,90,44.0,8.6
2025-12-10 06:00:00,15.9,73,16.2,0.0,0.0,0.0,79,44.0,8.6
